id;control;cultivar;1970;1971;1972;1973;1974;1975;1976;1977;1978;1979;1980;1981;1982;1983;1984;1985;1986;1987;1988;1989;1990;1991;1992;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022;2023
15;ti_Carignan;Carignan;0;11.796;7.537;5.693;4.535;0;0;0;3.231;2.621;0;0;406;463;546;1.733;1.508;359;128.366;0;0;48.657;0;0;15.582;5.784;10.777;176;0;0;0;20.838;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;nd;0;0;*;0
16;ti_Carmenere;Carmenere;1.235;18.288;22.154;4.150;33.114;54.120;35.879;96.442;149.018;100.811;70.779;132.650;102.813;19.499;123.660;89.699;61.422;41.224;35.458;15.236;55.499;23.812;8.743;3.393;1.748;10.722;878;11.115;10.100;15.050;26.460;4.120;49.380;131.949;265.819;386.202;234.940;328.254;223.269;130.269;85.264;50.125;48.990;44.414;66.632;134.180;87.402;69.275;241.808;nd;184.268;76.625;*;14.360
17;ti_Castelão;Castelão;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;468;494;494;487;23.252;16.240;16.230;26.790;0;0;0;0;0;0;0;nd;0;0;*;0
18;ti_Corvina;Corvina;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;710;680;100;1.110;1.200;1.382;1.406;1.397;419;1.890;0;nd;2.220;69.910;*;2.200
19;ti_Croatina;Croatina;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;800;760;3.012;4.700;0;0;0;0;0;0;0;0;0;0;0;nd;0;0;*;0
20;ti_Cinsaut;Cinsaut;0;0;0;0;0;0;0;0;0;0;0;4.148;6.229;11.047;13.522;7.195;2.446;5.871;22.362;24.663;27.386;17.020;13.230;17.745;18.060;9.500;243.012;6.000;5.700;14.800;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3.430;0;nd;0;0;*;0
21;ti_Dom Felder;Dom Felder;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;17.590;0;0;0;0;0;0;0;0;0;0;0;nd;0;0;*;0
22;ti_Dolcetto;Dolcetto;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4.496;5.634;0;0;0;0;0;0;0;0;0;0;0;0;0;nd;0;0;*;0
23;ti_Durif;Durif;0;0;0;0;0;0;0;0;0;0;0;11.134;7.496;3.052;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;nd;0;0;*;0
24;ti_Egiodola;Egiodola;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;188.625;325.911;373.345;512.792;625.861;859.275;1.070.153;899.584;1.265.676;1.366.406;1.157.679;845.205;1.544.746;992.241;1.059.250;911.280;1.053.654;519.874;1.567.341;1.047.960;nd;1.067.591;6.322.152;*;1.439.540
25;ti_Ekigaina;Ekigaina;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1.720;0;0;1.350;2.630;1.720;600;1.090;0;1.340;2.070;nd;1.990;2.202.348;*;1.000
26;ti_Festival (Sugraone);Festival (Sugraone);0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;18.007;0;0;0;0;0;0;0;nd;0;0;*;0
27;ti_Franconia;Franconia;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3.633;0;0;9.310;0;0;0;0;0;0;0;0;nd;0;0;*;0
28;ti_Freisa;Freisa;1.661;1.519;1.005;0;713;1.713;1.098;0;0;382;0;0;0;213;0;4.208;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6.727;0;0;0;0;0;0;41.403;24.452;0;22.610;14.020;nd;25.330;0;*;0
29;ti_Gamay St Romain;Gamay St Romain;0;0;189;0;0;3.498;0;1.226;14.517;37.287;52.878;167.142;298.609;430.780;519.843;895.817;788.089;603.449;777.214;735.344;399.023;255.846;297.597;253.209;137.064;20.523;66.767;140.363;154.220;569.713;86.966;55.041;46.993;40.051;32.533;64.571;22.755;45.266;59.576;38.260;44.153;20.830;10.995;11.615;11.180;31.935;0;12.835;12.675;nd;0;0;*;0
30;ti_Gamay Beaujolais;Gamay Beaujolais;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;48.410;0;0;447.830;175.560;558.237;364.550;311.457;386.708;506.944;548.553;528.897;320.585;450.296;215.226;557.368;351.732;230.492;342.824;508.063;339.559;249.021;320.115;316.366;208.276;84.074;164.201;163.664;135.405;113.038;121.516;45.952;150.331;152.384;nd;143.278;5.375.879;*;126.667
31;ti_Grand Noir;Grand Noir;0;930;603;0;0;3.056;1.787;0;713;6.320;3.012;0;0;0;0;27.537;21;56;4.264;0;0;0;245;410;420;440;378;520;422;0;0;0;459;536;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;nd;0;0;*;0
